Name,Rating,Cuisine,Discounts,Image URL,Link,Area,Detailed Cuisine
Big City Pizza - North Karachi,3.3(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/o1ul/big-city-pizza-north-karachi-o1ul,Sector 5k north Karachi Iqbal comlex shop no 11,"Pizza, Fast Food"
Agha Sajjad Juice Centre,4.8(42)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/hrdz/agha-sajjad-juice-centre-hrdz,Shop no A.5 Iqbal complex sector 5-K north karachi,"Fast Food, Shakes"
Karachi Fast Food & Chinese - NK,3.3(54)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,30% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/rxu1/karachi-fast-food-and-chinese-nk,Flat No C12 Abdullah Complex North Sector 5i 2 Min Chorangi Karach,"Sandwiches, Pizza, Pakistani, Western"
Master Chef Caters,4.4(72)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/lq9g/master-chef-caters,shafi Excellency sector 5.l shop # 6 Northÿkarachi,"Pakistani, Biryani"
Papas Zingeria,4.7(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,"25% off Rs.199, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/e21p/papas-zingeria,Flat No C11 Abdullah Complex North Karachi Sector 5i,"Burgers, Fast Food, Beverages, Pakistani, Western"
Food Pasand,4.3(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/oraq/food-pasand,R-308 sector 14-a shadman town north Karachi first floor.,"Chinese, Continental, Fast Food, Pasta, Pakistani"
Saas Bahu Ka Chatkhara,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/gbfc/saas-bahu-ka-chatkhara,House no L5 sector 5c4 north Karachi near Al Habib Bank,"Chinese, Beverages, Pakistani, Biryani, Paratha"
Burger Top,4.3(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/c9yj/burger-top,"R-1 sector 10 Dico Moor Near kaliyana medical center, north karachi","Pizza, American, Western"
BurgerOlita,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,"Up to 20% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/q898/burgerolita,"R 486 sector 9, discomor, north karachi","Burgers, Fast Food, Beverages, Pakistani, Western"
Pizza bake - North Karachi,4.7(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,50% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/iko1/pizza-bake-north-karachi,"Pizza bake, sect 5A/4 R 5, North Karachi",Pizza
Allah Wala Biryani and Pakwan Center,4.7(86)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/z39g/allah-wala-biryani-and-pakwan-center,"Shelton Bright, Shop no : 9, sector 5i north karachi 
Allahwala biryani & Pakwan center","Pakistani, Biryani, Pulao"
Kaybees Express,4.8(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/r2c9/kaybees-express,"Plot # A-914 Sector 11-B North Karachi, Karachi.",Fast Food
Qalandri Biryani center,4.9(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/j6i2/qalandri-biryani-center,"X3QC+F37, Sector 5-L Sector 5 L New Karachi Town, Karachi, Karachi City, Sindh","Pakistani, Biryani, Pulao"
Taste of Shazia,4.4(96)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/rmhk/taste-of-shazia,"A-307 Block T North Nazimabad,",
Al Saeedi Pakwan Centre,4.7(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/w8wq/al-saeedi-pakwan-centre,"Sector 11B, North Karachi, Next To The Desi Dawat Restaurant, Opposite Telephone Exchange, Karachi","Pakistani, Biryani"
Quetta al-rozi Hotel,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ayi1/quetta-al-rozi-hotel,"11-C3 Mariam residency New Karachi, Karachi City, Sindh 75850, Pakistan",Pakistani
Khatri Foods,,,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ccyu/khatri-foods,"L284 1st Floor, Sec 11L, New Karachi, Karachi",Beverages
Tasty Biryani House,4.8(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/t6ms/tasty-biryani-house-t6ms,north karachi sector 11-B NORTH KARACHI,"Pakistani, Biryani, Pulao"
Musfiyrah Food Corner,4.8(27)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/fyy4/musfiyrah-food-corner,House no R81 SECTOR 14A shadman town near Ravi gas,"Beverages, Pakistani, BBQ"
Nice Bakers & Sweets,4.9(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Cakes & Bakery,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/hxig/nice-bakers-and-sweets,A-915 sector 11-A North Karachi opp. Saleem center,Cakes & Bakery
Bite My Kitchen,4.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,"Up to 10% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/sqay/bite-my-kitchen,house no R122 sector 11 C-2 north karachi,"Desserts, Pasta"
Al-Rozi Pakwan,4.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/h4bt/al-rozi-pakwan,"Sector 11 C 3 North Karachi Maryam residency sersyedÿtown Karachi, Karachi City, Sindh, Pakistan","Pakistani, Biryani"
Tadka House,4.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/upm7/tadka-house,North Nazmabad T block Street 04 House Number 844 3rd floor,"Pakistani, Biryani, Karahi & Handi"
Zam Bakes,3.9(67)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Continental,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/hyv0/zam-bakes,Flat B 9 Haroon Heights Sector 11 K North Karachi near saleem center bus stop,"Chinese, Continental, Pasta, Healthy Food, Pakistani"
Peshawari Ice Cream (North Karachi),4.5(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/xmb4/peshawari-ice-cream-north-karachi,shop# R-96 shop#3 11B north karachi,"Desserts, Ice Cream"
Al Madina Burger,4.9(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Burgers,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v3le/al-madina-burger,"Shop# 10,11 Iqbal Plaza Nagan Chowrangi North, Karachi","Burgers, Western"
Desi Tarka,4.1(29)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/thlo/desi-tarka-thlo,Kareemi Chorangi Bismillah Twon sector 4B Miraj bekry k opposite Aslam jenral store k back right hand Gali house R177,"Beverages, Pakistani, Biryani, Karahi & Handi"
HAJI AKHTAR PAKWAN & RESTAURANT,4.7(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/t1tv/haji-akhtar-pakwan-and-restaurant,"Shop # 35 to 38 , Iqbal Plaza , Nagan chowrangi , Sector 11c-1 , North Karachi ,","Pakistani, Biryani"
AL MADINA FAST FOOD BBQ AND PIZZA - Nagin Chorangi,4.9(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/u594/al-madina-fast-food-bbq-and-pizza-nagin-chorangi,SHOP NO 23-24 IQBAL PLAZA NAGAN CHOWRANGI KARACHI,"Fast Food, Western"
Wokout - Nagan Chowrangi,4.7(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ee7q/wokout-nagan-chowrangi,SHOP NO 23-24 IQBAL PLAZA NAGAN CHOWRANGI KARACHI,"Chinese, Fast Food"
Karachi Spicy Roll Corner - Bufferzone,4.8(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 25% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/jlip/karachi-spicy-roll-corner-bufferzone,SHOP NO 23-24 IQBAL PLAZA NAGAN CHOWRANGI KARACHI,"Burgers, Fast Food, Wraps & Rolls, Western, BBQ"
MASTER PAKWAN AND FOOD CENTRE (New Karachi),4.4(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,15% off Rs.199,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/vo8l/master-pakwan-and-food-centre-new-karachi,"SHOP NO 21 22 23 SECTOR 11-1 , NEW KARACHI, NEW TOWN OFFICE, KARACHI","Pakistani, Karahi & Handi"
Mirha Spice and Taste,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,"Up to 10% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/n7q4/mirha-spice-and-taste,House no 349/A sector 11 1/2 block k orangi town Karachi,"Sandwiches, Chinese, Desserts, Burgers, Fast Food"
Zam Zam Peyala - Branch 5,4.8(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/m8i5/zam-zam-peyala-branch-5-m8i5,"Street Number 9, Shadman Town Sector 14 B Shadman Town, Karachi, Karachi City, Sindh","Beverages, Pakistani, Tea & Coffee, Paratha"
Al Madina Fast Food - Nagin Chowrangi,4.8(15000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/s8ta/al-madina-fast-food-nagin-chowrangi,shop : 21 and 22 Iqbal plaza building north Karachi sector 11-c /1  NORTH KARACHI,"Burgers, Fast Food, Western"
Signature Restaurant,4.8(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 30% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/qt4n/signature-restaurant,Shop no 76-77 iqbal plaza nagan chowrangi north karachi,"Pizza, Burgers, Fast Food, Western"
Signature Burgers & Wings,4.7(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Burgers,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ncmq/signature-burgers-and-wings,"C-72 IQBAL PLAZA PHASE 1, NORTH KARACHI","Burgers, Fast Food, Western"
Desi Bites,4.6(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"20% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/jzh0/desi-bites-jzh0,North nazimabad shadman Town sector 14/B maria luxury apartments block 3 first floor flat no cc143,"Beverages, Pakistani, Paratha"
BKK by Erum,4.9(15)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/soln/bkk-by-erum,Flat 13A sector 11-H Aisha Apartment UP morh North Karachi,"Pakistani, Biryani, Haleem, Paratha"
Quetta Zam Zam Hotel,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/iemq/quetta-zam-zam-hotel-iemq,"15, St 5, Anda Morr Road, North Karachi TWP, Karachi","Beverages, Pakistani, Tea & Coffee"
Mr & Mrs Kitchen House,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Chinese,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/wkxh/mr-and-mrs-kitchen-house,flat a7 2nd floor abbasi corner apartment,"Chinese, Beverages, Pakistani, Paratha"
Pizza Max - North Karachi,4.6(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Rs.1081 off Rs.1081,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/s5op/pizza-max-north-karachi,House #A976 Sec 11-B North Karachi,"Pizza, Pasta, Western, Dine-in Prices"
Asia Quetta Hotel,4.7(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/gqw4/asia-quetta-hotel,"X3C8+X9G, Service Rd, Sector 11-B Sector 11 B North Karachi Twp, Karachi, Karachi City, Sindh, Pakistan","Beverages, Pakistani, Paratha"
Illahi Nihari BBQ & Fast Food Restaurant,4.8(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/w9kv/illahi-nihari-bbq-and-fast-food-restaurant,plot no#161/21 sindhi hotel sector 5-e north karachi,"Pakistani, Karahi & Handi, Nihari, Paratha"
Delish Star Sweets and Bakers,5(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Cakes & Bakery,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/yw1z/delish-star-sweets-and-bakers,"X3C8+3G2, Sector 11C-3 Sector 11 C 1 North Karachi Twp, Karachi, Karachi City, Sindh","Cakes & Bakery, Desserts"
Delicious Home Food,4.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,"10% off Rs.199, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/eva8/delicious-home-food-eva8,"House No: A16 FL-1  sector 14 - B Shadman Town no : 1
 North Karachi/North Nazimabad near Rose garden school street","Fast Food, Beverages, Pakistani, Paratha"
Mubashir Cusine,3.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Up to 10% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/zfri/mubashir-cusine,"Orangi Town , Sector 7/B , Street # 9 , Madarsa Raza E Mustafa , House # 326 , Near Qazi medical & General Store , Karachi City, Sindh 75800, Pakistan","Chinese, Fast Food, Beverages, Pakistani, Karahi & Handi"
Mrs Minhaj in the kitchen,4.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/e7tr/mrs-minhaj-in-the-kitchen,"Block I,  Block I North Nazimabad Karachi house number A.11 near Khadija market","Sandwiches, Beverages, Pakistani, Western, Paratha"
Marvellous Foods,4.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/hgf8/marvellous-foods,"Flat no. D-13, Ashraf Plaza Phase 1 Shadman Town, Karachi","Desserts, Burgers, Fast Food, Beverages, Pakistani"
Ruba's Kitchen,,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/nioe/rubas-kitchen-nioe,"House no. B-28, Block D, North Nazimabad, Karachi","Beverages, Pakistani, Biryani, Pulao"
Amma's Food,4.9(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/a29w/ammas-food,"House no. A-38, Block I North Nazimabad, Karachi","Beverages, Pakistani, Paratha"
Sarawan Foods,4.9(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/kitl/sarawan-foods,Orangi town islam chowk sector 11 1/2 sarawan foods karachi,"Pakistani, BBQ, Karahi & Handi"
Sweet Treats,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/yvde/sweet-treats-yvde,A-285 block i north nazimabad karachi,Desserts
NZ Food,3.9(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/g0gf/nz-food,Flat#B-204 Kiran Palace Bufferzone 15A/1 North Karachi NEAR Quetta Bolan Hotel,"Burgers, Beverages, Pakistani, Western, Paratha"
